Date,NSA Value,SA Value
2018-11-30,204.860376,205.278693
2018-10-31,206.8230168,205.4685357
2018-09-30,208.5667065,205.6377942
2018-08-31,209.9534757,205.8487458
2018-07-31,211.0108898,205.9692792
2018-06-30,210.8308311,205.5391316
2018-05-31,208.8998153,204.6708554
2018-04-30,206.4586321,204.1812433
2018-03-31,203.8591584,204.0341561
2018-02-28,200.7261165,202.4901325
2018-01-31,198.0407842,200.2734353
2017-12-31,196.8040658,198.3925376
2017-11-30,196.7291208,197.0471829
2017-10-31,196.946241,195.6280074
2017-09-30,196.8248953,194.0303995
2017-08-31,196.2780045,192.3692468
2017-07-31,195.5161434,190.7939715
2017-06-30,194.4055581,189.528307
2017-05-31,192.3082023,188.4516856
2017-04-30,189.1509856,187.2019179
2017-03-31,185.673359,185.9541112
2017-02-28,182.6019733,184.309082
2017-01-31,180.3534465,182.3820704
2016-12-31,179.3218668,180.7281986
2016-11-30,179.0279419,179.135835
2016-10-31,179.0011518,177.7600722
2016-09-30,178.995756,176.3922759
2016-08-31,178.6006306,174.9540568
2016-07-31,177.8711519,173.4823793
2016-06-30,176.5107208,172.1133361
2016-05-31,174.0293635,170.6474145
2016-04-30,170.5632286,168.9557635
2016-03-31,167.0566913,167.4678257
2016-02-29,164.6924559,166.3364601
2016-01-31,163.8514526,165.7165417
2015-12-31,163.9238552,165.1738962
2015-11-30,164.0732731,163.990923
2015-10-31,164.1018485,162.8710362
2015-09-30,164.2889463,161.7972958
2015-08-31,164.6064643,161.1163831
2015-07-31,164.4344138,160.2679504
2015-06-30,163.3028353,159.3142665
2015-05-31,161.1671203,158.194712
2015-04-30,158.3697326,157.0062633
2015-03-31,155.7744769,156.2784803
2015-02-28,154.0101119,155.6433288
2015-01-31,153.3832731,155.1999051
2014-12-31,153.523626,154.6750527
2014-11-30,153.6289186,153.4343174
2014-10-31,153.2358347,151.944605
2014-09-30,152.9544065,150.4613093
2014-08-31,153.2187398,149.8584807
2014-07-31,153.1381669,149.2087619
2014-06-30,152.0301645,148.4147411
2014-05-31,150.3787116,147.7478866
2014-04-30,148.7533798,147.5396404
2014-03-31,146.8237188,147.3908889
2014-02-28,144.5071549,146.1265272
2014-01-31,142.7980979,144.6090922
2013-12-31,142.2637301,143.3232087
2013-11-30,142.4147635,142.1677758
2013-10-31,142.8190665,141.4128521
2013-09-30,142.9998535,140.4817874
2013-08-31,142.8083918,139.5567357
2013-07-31,141.9404725,138.3017127
2013-06-30,140.098468,136.9004867
2013-05-31,137.8880756,135.5690766
2013-04-30,135.2540366,134.2584044
2013-03-31,132.1587931,132.7331446
2013-02-28,129.4995396,131.0459179
2013-01-31,127.9390932,129.6148909
2012-12-31,127.3448675,128.2237579
2012-11-30,127.413269,127.0855102
2012-10-31,127.7607505,126.3234714
2012-09-30,127.9029149,125.5315222
2012-08-31,127.6185074,124.7118893
2012-07-31,127.147196,123.9881313
2012-06-30,126.5476155,123.7748623
2012-05-31,125.5262213,123.4454641
2012-04-30,123.9479897,123.1087209
2012-03-31,122.3133071,122.8763915
2012-02-29,121.6327974,123.1157049
2012-01-31,122.2810445,123.8699827
2011-12-31,123.9177134,124.680637
2011-11-30,125.7412665,125.2921351
2011-10-31,127.1794202,125.6237882
2011-09-30,128.4283917,126.0282587
2011-08-31,129.4772542,126.5836323
2011-07-31,129.6481424,126.5394332
2011-06-30,128.917914,126.2508841
2011-05-31,128.0705139,126.0247336
2011-04-30,127.3787886,126.5508928
2011-03-31,126.7746098,127.2468588
2011-02-28,126.5711965,128.017697
2011-01-31,127.2750939,128.7855038
2010-12-31,128.8574123,129.6101624
2010-11-30,130.8414071,130.3248591
2010-10-31,132.6800817,131.0838565
2010-09-30,134.261352,131.8308272
2010-08-31,135.8689784,132.9628751
2010-07-31,137.6308477,134.4883496
2010-06-30,139.3511383,136.5492753
2010-05-31,140.4613857,138.2642748
2010-04-30,140.4133624,139.4009606
2010-03-31,139.5906707,139.8797431
2010-02-28,139.1768839,140.5524009
2010-01-31,139.7432345,141.2497688
2009-12-31,141.3118923,142.1984517
2009-11-30,143.5613866,143.0972109
2009-10-31,145.7617041,144.1760872
2009-09-30,147.398441,144.8587031
