Quarter,HOI%,National Median Price (000),Weighted Interest Rate,IR: Fixed,IR: ARM,%Share:Fixed,%Share:ARM,# of Metro Areas Covered
2018-09-30,56.4,268.0,4.72,4.72,,1.0,0.0,239.0
2018-06-30,57.1,265.0,4.67,4.67,,1.0,0.0,237.0
2018-03-31,61.6,252.0,4.34,4.34,,1.0,0.0,237.0
2017-12-31,59.6,255.0,4.06,4.06,,1.0,0.0,238.0
2017-09-30,58.3,260.0,4.1,4.1,,1.0,0.0,233.0
2017-06-30,59.4,256.0,4.08,4.08,,1.0,0.0,233.0
2017-03-31,60.3,245.0,4.33,4.08,,1.0,0.0,225.0
2016-12-31,59.9,250.0,3.84,3.84,,1.0,0.0,215.0
2016-09-30,61.4,246.5,3.76,3.76,,1.0,0.0,229.0
2016-06-30,62.0249,240.0,3.88,3.88,,1.0,0.0,236.0
2016-03-31,65.0,223.0,4.05,4.05,,1.0,0.0,236.0
2015-12-31,63.3,226.0,4.09,4.09,,1.0,0.0,225.0
2015-09-30,62.2,231.0,4.18,4.18,,1.0,0.0,223.0
2015-06-30,63.2,230.0,3.99,3.99,,1.0,0.0,226.0
2015-03-31,66.5,210.0,4.03,4.03,,1.0,0.0,225.0
2014-12-31,62.8,215.0,4.29,4.29,,1.0,0.0,226.0
2014-09-30,61.8,220.8,4.35,4.35,,1.0,0.0,227.0
2014-06-30,62.6,214.0,4.44,4.44,,1.0,0.0,225.0
2014-03-31,65.4945,195.0,4.57,4.57,,1.0,0.0,225.0
2013-12-31,64.7,205.0,4.54,4.54,,1.0,0.0,224.0
2013-09-30,64.5,211.0,4.45,4.45,,1.0,0.0,223.0
2013-06-30,69.3,202.0,3.73,3.73,,1.0,0.0,225.0
2013-03-31,73.7,183.8,3.62,3.62,,1.0,0.0,222.0
2012-12-31,74.9,187.9,3.57,3.57,,1.0,0.0,226.0
2012-09-30,74.1,189.0,3.8,3.8,,1.0,0.0,225.0
2012-06-30,73.8,184.9,4.05,4.05,,1.0,0.0,226.0
2012-03-31,77.5,162.0,4.32,4.32,,1.0,0.0,226.0
2011-12-31,75.9,170.0,4.43,4.43,,1.0,0.0,225.0
2011-09-30,72.9,175.5,4.71,4.71,,1.0,0.0,225.0
2011-06-30,72.6,172.0,4.95,4.95,,1.0,0.0,223.0
2011-03-31,74.6,165.0,4.98,4.98,,1.0,0.0,222.0
2010-12-31,73.9,175.0,4.59,4.59,,1.0,0.0,223.0
2010-09-30,72.1,180.0,4.79,4.79,,1.0,0.0,226.0
2010-06-30,72.3,179.0,5.11,5.11,,1.0,0.0,225.0
2010-03-31,72.2,175.0,5.12,5.12,,1.0,0.0,225.0
2009-12-31,70.8,180.0,5.11,5.11,,1.0,0.0,227.0
2009-09-30,70.1,179.0,5.33,5.33,,1.0,0.0,227.0
2009-06-30,72.3,177.0,5.03,5.03,,1.0,0.0,226.0
2009-03-31,72.5,175.5,5.14,5.14,,1.0,0.0,222.0
2008-12-31,62.4,190.0,6.02,6.02,6.03,0.98,0.02,222.0
2008-09-30,56.1,205.9,6.39,6.43,5.91,0.92,0.08,222.0
2008-06-30,55.0,215.0,6.12,6.16,5.69,0.92,0.08,222.0
2008-03-31,53.84,218.5,6.02,6.05,5.66,0.92,0.08,223.0
2007-12-31,46.6,227.4,6.42,6.43,6.22,0.92,0.08,220.0
2007-09-30,42.0,239.0,6.73,6.76,6.54,0.88,0.12,215.0
2007-06-30,43.1,240.0,6.44,6.46,6.27,0.89,0.11,215.0
2007-03-31,43.9,238.0,6.4,6.41,6.29,0.89,0.11,219.0
2006-12-31,41.6,247.0,6.52,6.55,6.36,0.86,0.14,202.0
2006-09-30,40.4,248.0,6.77,6.82,6.55,0.81,0.19,203.0
2006-06-30,40.56,249.9,6.65,6.72,6.45,0.75,0.25,199.0
2006-03-31,41.3,250.0,6.39,6.51,6.1,0.72,0.28,182.0
2005-12-31,40.97,254.0,6.21,6.36,5.81,0.71,0.29,160.0
2005-09-30,43.2,253.0,5.84,5.97,5.49,0.72,0.28,161.0
2005-06-30,45.9,241.0,5.82,6.02,5.42,0.67,0.33,158.0
2005-03-31,50.1,225.0,5.79,5.95,5.43,0.68,0.32,158.0
2004-12-31,52.0,219.0,5.77,5.93,5.48,0.64,0.36,160.0
2004-09-30,50.4,225.0,5.83,6.12,5.35,0.62,0.38,162.0
2004-06-30,55.6,204.0,5.72,6.09,5.06,0.64,0.36,162.0
2004-03-31,61.2,187.0,5.62,5.9,4.9,0.73,0.27,163.0
2003-12-31,58.9,185.5,5.83,6.09,5.13,0.73,0.27,161.0
2002-03-31,64.8,160.0,6.86,7.03,6.01,0.83,0.17,191.0
2001-12-31,64.1,158.0,6.71,6.8,6.08,0.88,0.12,181.0
2001-09-30,61.5,161.0,7.06,7.17,6.42,0.85,0.15,186.0
2001-06-30,63.4,156.0,7.15,7.23,6.49,0.89,0.11,187.0
2001-03-31,56.9,153.0,7.2063,7.28,6.61,0.89,0.11,181.0
2000-12-31,59.3,151.0,7.7548,7.95,6.73,0.84,0.16,180.0
2000-09-30,58.1,151.0,8.01,8.29,6.98,0.79,0.21,177.0
2000-06-30,58.4,147.0,8.2,8.55,7.47,0.68,0.32,173.0
2000-03-31,62.8,140.0,7.93,8.32,7.09,0.69,0.31,184.0
1999-12-31,63.8,139.0,7.58,7.98,6.62,0.7,0.3,192.0
1999-09-30,63.4,141.0,7.52,7.25,6.69,0.72,0.28,186.0
1999-06-30,67.0,138.0,7.1,7.85,6.35,0.83,0.17,184.0
1999-03-31,69.6,134.0,6.95,7.03,6.29,0.88,0.12,181.0
1998-12-31,66.2,136.0,6.88,6.95,6.22,0.9,0.1,186.0
1998-09-30,64.4,138.0,7.08,7.18,6.4,0.88,0.12,187.0
1998-06-30,64.8,135.0,7.21,7.31,6.53,0.86,0.14,193.0
1998-03-31,67.6,129.0,7.22,7.31,6.62,0.87,0.13,191.0
1997-12-31,64.8,127.0,7.47,7.63,6.71,0.83,0.17,193.0
1997-09-30,63.7,127.0,7.65,7.96,6.82,0.8,0.2,195.0
1997-06-30,64.3,123.0,7.91,8.2,7.06,0.75,0.25,196.0
1997-03-31,66.5,120.0,7.75,8.01,6.97,0.75,0.25,190.0
1996-12-31,64.1,120.0,7.73,8.06,6.94,0.71,0.29,184.0
1996-09-30,61.2,122.0,7.97,8.36,7.19,0.67,0.33,174.0
