Date,Austin_HPI
2018-09-30,205.824
2018-08-31,205.66
2018-07-31,205.292
2018-06-30,204.378
2018-05-31,202.811
2018-04-30,200.93400000000003
2018-03-31,198.879
2018-02-28,197.199
2018-01-31,196.402
2017-12-31,196.133
2017-11-30,195.724
2017-10-31,195.346
2017-09-30,195.073
2017-08-31,194.588
2017-07-31,193.736
2017-06-30,192.477
2017-05-31,190.736
2017-04-30,188.731
2017-03-31,186.724
2017-02-28,185.217
2017-01-31,184.834
2016-12-31,184.581
2016-11-30,184.394
2016-10-31,184.169
2016-09-30,184.086
2016-08-31,183.785
2016-07-31,183.133
2016-06-30,182.016
2016-05-31,180.43
2016-04-30,178.574
2016-03-31,176.68
2016-02-29,175.361
2016-01-31,175.12
2015-12-31,175.203
2015-11-30,175.225
2015-10-31,175.12400000000005
2015-09-30,175.113
2015-08-31,174.998
2015-07-31,174.551
2015-06-30,173.505
2015-05-31,171.90400000000002
2015-04-30,170.02599999999995
2015-03-31,168.15099999999995
2015-02-28,166.69299999999996
2015-01-31,166.3
2014-12-31,166.498
2014-11-30,166.68900000000005
2014-10-31,166.93900000000005
2014-09-30,167.27
2014-08-31,167.47799999999995
2014-07-31,167.16299999999995
2014-06-30,166.24
2014-05-31,164.713
2014-04-30,163.0
2014-03-31,161.224
2014-02-28,159.908
2014-01-31,159.40200000000004
2013-12-31,159.308
2013-11-30,159.387
2013-10-31,159.579
2013-09-30,159.696
2013-08-31,159.417
2013-07-31,158.308
2013-06-30,156.447
2013-05-31,153.877
2013-04-30,150.982
2013-03-31,147.967
2013-02-28,145.165
2013-01-31,144.31799999999996
2012-12-31,143.878
2012-11-30,143.971
2012-10-31,143.977
2012-09-30,144.365
2012-08-31,144.711
2012-07-31,144.29
2012-06-30,143.18
2012-05-31,141.062
2012-04-30,138.484
2012-03-31,135.872
2012-02-29,133.997
2012-01-31,134.16299999999998
2011-12-31,135.158
2011-11-30,136.655
2011-10-31,138.399
2011-09-30,140.156
2011-08-31,141.77200000000005
2011-07-31,142.329
2011-06-30,141.934
2011-05-31,140.684
2011-04-30,139.155
2011-03-31,137.792
2011-02-28,137.743
2011-01-31,139.047
2010-12-31,140.637
2010-11-30,141.825
2010-10-31,143.125
2010-09-30,144.59
2010-08-31,146.404
2010-07-31,147.545
2010-06-30,147.69
2010-05-31,147.02700000000004
2010-04-30,145.395
2010-03-31,143.596
2010-02-28,143.05700000000004
2010-01-31,145.003
2009-12-31,146.679
2009-11-30,147.94899999999996
2009-10-31,148.591
2009-09-30,149.631
